"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.30438","0.29958","0.35549","0.28482","3.14M","1.60%"
"Jun 30, 2021","0.29958","0.28214","0.30145","0.26918","1.97M","6.18%"
"Jun 29, 2021","0.28214","0.25999","0.28241","0.25826","1.15M","8.52%"
"Jun 28, 2021","0.25999","0.25002","0.26898","0.24452","918.82K","3.99%"
"Jun 27, 2021","0.25002","0.23208","0.25383","0.22634","706.64K","7.73%"
"Jun 26, 2021","0.23208","0.23095","0.23496","0.21505","530.31K","0.49%"
"Jun 25, 2021","0.23095","0.24623","0.25715","0.22544","709.61K","-4.36%"
"Jun 24, 2021","0.24149","0.22198","0.24255","0.21307","487.32K","8.79%"
"Jun 23, 2021","0.22198","0.20649","0.22755","0.20037","1.39M","7.55%"
"Jun 22, 2021","0.20640","0.20822","0.23896","0.16489","3.38M","-0.88%"
"Jun 21, 2021","0.20822","0.26733","0.26751","0.20811","835.51K","-22.11%"
"Jun 20, 2021","0.26733","0.25933","0.26988","0.23944","675.65K","3.09%"
"Jun 19, 2021","0.25933","0.26282","0.26822","0.25370","313.76K","-1.33%"
"Jun 18, 2021","0.26282","0.27699","0.27700","0.25180","349.96K","-5.12%"
"Jun 17, 2021","0.27699","0.28930","0.30934","0.27062","1.03M","-4.25%"
"Jun 16, 2021","0.28930","0.29496","0.29721","0.28083","306.69K","-1.92%"
"Jun 15, 2021","0.29496","0.29355","0.29955","0.28603","269.97K","0.48%"
"Jun 14, 2021","0.29355","0.28450","0.29825","0.27650","459.43K","3.18%"
"Jun 13, 2021","0.28450","0.25861","0.28911","0.24745","1.06M","9.74%"
"Jun 12, 2021","0.25926","0.27122","0.27401","0.24812","601.64K","-4.41%"
"Jun 11, 2021","0.27122","0.29729","0.29881","0.27120","523.36K","-8.77%"
"Jun 10, 2021","0.29729","0.29930","0.30215","0.28588","484.00K","-0.67%"
"Jun 09, 2021","0.29930","0.28141","0.30694","0.28067","3.20M","6.36%"
"Jun 08, 2021","0.28141","0.28993","0.29450","0.25800","382.59K","-2.94%"
"Jun 07, 2021","0.28993","0.31252","0.33000","0.28916","959.33K","-7.03%"
"Jun 06, 2021","0.31186","0.30251","0.32432","0.29854","639.05K","3.09%"
"Jun 05, 2021","0.30251","0.31777","0.33131","0.29739","652.73K","-4.30%"
"Jun 04, 2021","0.31612","0.33783","0.33811","0.29743","690.55K","-6.42%"
"Jun 03, 2021","0.33782","0.32184","0.34482","0.31582","655.87K","4.97%"
"Jun 02, 2021","0.32184","0.30463","0.32326","0.29704","277.12K","5.65%"
"Jun 01, 2021","0.30463","0.30832","0.31063","0.29075","484.60K","-0.95%"
"May 31, 2021","0.30754","0.28852","0.30931","0.27670","174.75K","6.59%"
"May 30, 2021","0.28852","0.28684","0.30187","0.26957","545.97K","0.58%"
"May 29, 2021","0.28684","0.31015","0.38187","0.27474","2.16M","-7.65%"
"May 28, 2021","0.31062","0.35273","0.35273","0.29461","739.12K","-11.94%"
"May 27, 2021","0.35273","0.34443","0.39831","0.32471","2.26M","2.41%"
"May 26, 2021","0.34443","0.32079","0.34472","0.31132","532.54K","7.37%"
"May 25, 2021","0.32079","0.30596","0.32573","0.27756","959.25K","4.85%"
"May 24, 2021","0.30596","0.26628","0.30596","0.24545","881.50K","13.97%"
"May 23, 2021","0.26847","0.32228","0.33322","0.22043","2.01M","-16.70%"
"May 22, 2021","0.32228","0.32851","0.38584","0.28821","3.58M","-1.90%"
"May 21, 2021","0.32851","0.34182","0.41490","0.27550","4.76M","-6.78%"
"May 20, 2021","0.35238","0.27056","0.36391","0.24071","1.82M","29.99%"
"May 19, 2021","0.27109","0.37897","0.38548","0.20688","3.17M","-28.47%"
"May 18, 2021","0.37897","0.35646","0.38133","0.34991","723.23K","6.31%"
"May 17, 2021","0.35646","0.37898","0.39934","0.33680","1.54M","-5.94%"
"May 16, 2021","0.37898","0.38653","0.41768","0.36305","721.98K","-1.95%"
"May 15, 2021","0.38653","0.42260","0.45015","0.38428","891.34K","-8.53%"
"May 14, 2021","0.42260","0.40299","0.42838","0.39846","360.14K","4.87%"
"May 13, 2021","0.40299","0.38971","0.41952","0.36621","762.67K","3.00%"
"May 12, 2021","0.39126","0.44808","0.46438","0.39126","1.38M","-12.68%"
"May 11, 2021","0.44808","0.42286","0.45273","0.40321","1.09M","5.96%"
"May 10, 2021","0.42286","0.48983","0.50188","0.41972","1.71M","-13.67%"
"May 09, 2021","0.48983","0.51612","0.51612","0.47009","608.55K","-5.09%"
"May 08, 2021","0.51612","0.50422","0.54138","0.49748","1.41M","2.36%"
"May 07, 2021","0.50422","0.49465","0.55264","0.46511","2.15M","1.94%"
"May 06, 2021","0.49465","0.49349","0.50701","0.47167","1.43M","0.21%"
"May 05, 2021","0.49363","0.46046","0.49483","0.43750","727.31K","7.04%"
"May 04, 2021","0.46114","0.49076","0.49076","0.43376","1.42M","-5.83%"
"May 03, 2021","0.48971","0.48508","0.51537","0.47586","2.21M","0.69%"
"May 02, 2021","0.48633","0.46353","0.49489","0.44223","2.17M","4.92%"
"May 01, 2021","0.46353","0.46614","0.46734","0.44962","502.65K","-0.38%"
"Apr 30, 2021","0.46529","0.44796","0.46641","0.43132","759.06K","3.87%"
"Apr 29, 2021","0.44796","0.46412","0.46412","0.42838","353.33K","-3.14%"
"Apr 28, 2021","0.46249","0.45275","0.50113","0.42873","1.72M","2.14%"
"Apr 27, 2021","0.45278","0.41283","0.45680","0.40850","1.25M","9.68%"
"Apr 26, 2021","0.41283","0.35393","0.44290","0.34831","2.52M","16.64%"
"Apr 25, 2021","0.35393","0.33732","0.37286","0.32561","1.94M","4.92%"
"Apr 24, 2021","0.33732","0.36702","0.37441","0.33509","1.38M","-8.09%"
"Apr 23, 2021","0.36702","0.37660","0.37928","0.29765","3.26M","-2.54%"
"Apr 22, 2021","0.37660","0.44506","0.46942","0.37013","1.67M","-15.38%"
"Apr 21, 2021","0.44506","0.46176","0.47259","0.44084","2.10M","-3.49%"
"Apr 20, 2021","0.46116","0.44462","0.48659","0.39637","3.87M","3.72%"
"Apr 19, 2021","0.44462","0.47024","0.54457","0.43966","1.63M","-5.45%"
"Apr 18, 2021","0.47024","0.53220","0.53742","0.43105","1.99M","-11.64%"
"Apr 17, 2021","0.53220","0.53584","0.55621","0.51862","950.20K","-0.68%"
"Apr 16, 2021","0.53584","0.57638","0.59095","0.51221","1.74M","-7.03%"
"Apr 15, 2021","0.57638","0.54865","0.57992","0.54425","804.42K","5.05%"
"Apr 14, 2021","0.54865","0.57423","0.58096","0.51913","1.22M","-4.39%"
"Apr 13, 2021","0.57384","0.57443","0.60105","0.55321","1.09M","-0.10%"
"Apr 12, 2021","0.57443","0.59518","0.60486","0.55079","1.37M","-3.75%"
"Apr 11, 2021","0.59682","0.61735","0.63391","0.53388","1.78M","-3.33%"
"Apr 10, 2021","0.61735","0.58507","0.65164","0.56820","5.67M","5.52%"
"Apr 09, 2021","0.58507","0.53142","0.59686","0.52124","2.92M","10.10%"
"Apr 08, 2021","0.53142","0.48522","0.53577","0.47765","1.60M","9.52%"
"Apr 07, 2021","0.48522","0.53895","0.53895","0.43997","2.61M","-9.84%"
"Apr 06, 2021","0.53819","0.55323","0.55789","0.51339","1.78M","-2.72%"
"Apr 05, 2021","0.55323","0.60045","0.61697","0.54679","1.29M","-7.86%"
"Apr 04, 2021","0.60045","0.56573","0.60045","0.55729","996.77K","6.14%"
"Apr 03, 2021","0.56573","0.60297","0.63972","0.56308","1.95M","-6.18%"
"Apr 02, 2021","0.60297","0.59512","0.60751","0.58109","873.02K","1.32%"
"Apr 01, 2021","0.59512","0.62384","0.63700","0.58459","2.05M","-4.60%"
"Mar 31, 2021","0.62384","0.64991","0.65052","0.58654","2.00M","-4.01%"
"Mar 30, 2021","0.64991","0.63754","0.68219","0.62870","1.99M","1.94%"
"Mar 29, 2021","0.63754","0.60779","0.65974","0.56749","3.04M","4.89%"
"Mar 28, 2021","0.60779","0.58727","0.65227","0.54831","4.85M","3.49%"
"Mar 27, 2021","0.58727","0.48385","0.58766","0.47365","2.72M","21.37%"
"Mar 26, 2021","0.48385","0.44976","0.48445","0.44178","1.19M","7.58%"
"Mar 25, 2021","0.44976","0.47426","0.47525","0.42246","2.86M","-5.17%"
"Mar 24, 2021","0.47426","0.54622","0.54930","0.45489","3.11M","-13.17%"
"Mar 23, 2021","0.54622","0.47208","0.54989","0.43676","4.84M","15.70%"
"Mar 22, 2021","0.47208","0.46824","0.54440","0.45065","4.35M","0.82%"
"Mar 21, 2021","0.46824","0.45918","0.47533","0.42818","1.30M","1.97%"
"Mar 20, 2021","0.45918","0.45831","0.52729","0.44858","3.43M","0.19%"
"Mar 19, 2021","0.45831","0.44378","0.46367","0.42898","1.16M","3.27%"
"Mar 18, 2021","0.44378","0.43356","0.46343","0.41527","2.36M","2.36%"
"Mar 17, 2021","0.43356","0.42936","0.43496","0.38516","1.25M","0.98%"
"Mar 16, 2021","0.42936","0.44071","0.44421","0.41020","1.15M","-2.58%"
"Mar 15, 2021","0.44071","0.46881","0.48381","0.41321","1.58M","-5.99%"
"Mar 14, 2021","0.46881","0.49039","0.50712","0.45278","1.91M","-4.40%"
"Mar 13, 2021","0.49038","0.47958","0.49590","0.44693","2.43M","2.36%"
"Mar 12, 2021","0.47908","0.46189","0.48764","0.43925","2.46M","3.72%"
"Mar 11, 2021","0.46189","0.46274","0.47399","0.42975","2.30M","-0.18%"
"Mar 10, 2021","0.46274","0.46157","0.50169","0.41347","3.89M","0.25%"
"Mar 09, 2021","0.46157","0.42454","0.47744","0.41067","3.72M","8.72%"
"Mar 08, 2021","0.42454","0.42715","0.42784","0.39663","1.12M","-0.47%"
"Mar 07, 2021","0.42656","0.42624","0.42944","0.39940","1.73M","-0.13%"
"Mar 06, 2021","0.42713","0.42369","0.43774","0.37545","4.35M","0.81%"
"Mar 05, 2021","0.42369","0.36955","0.42665","0.33956","2.43M","14.65%"
"Mar 04, 2021","0.36955","0.37058","0.38468","0.34709","1.74M","-0.28%"
"Mar 03, 2021","0.37058","0.34807","0.37377","0.34807","1.92M","6.14%"
"Mar 02, 2021","0.34915","0.35732","0.35879","0.32942","1.31M","-2.32%"
"Mar 01, 2021","0.35744","0.32665","0.35945","0.31738","1.46M","9.43%"
"Feb 28, 2021","0.32665","0.35566","0.36179","0.29389","2.03M","-8.16%"
"Feb 27, 2021","0.35566","0.34767","0.36741","0.33704","1.73M","2.30%"
"Feb 26, 2021","0.34767","0.35650","0.36487","0.32014","2.21M","-2.48%"
"Feb 25, 2021","0.35650","0.39683","0.41373","0.35295","5.49M","-10.16%"
"Feb 24, 2021","0.39683","0.31291","0.44764","0.29311","11.93M","25.46%"
"Feb 23, 2021","0.31631","0.38750","0.46107","0.26642","5.85M","-18.37%"
"Feb 22, 2021","0.38749","0.43387","0.43387","0.31449","4.11M","-10.69%"
"Feb 21, 2021","0.43387","0.42060","0.47460","0.40405","5.75M","3.16%"
"Feb 20, 2021","0.42060","0.40336","0.52288","0.37750","12.30M","4.27%"
"Feb 19, 2021","0.40336","0.28923","0.62166","0.26825","55.34M","39.49%"
"Feb 18, 2021","0.28916","0.24875","0.30956","0.24854","4.47M","16.25%"
"Feb 17, 2021","0.24875","0.25430","0.26075","0.22685","2.45M","-2.18%"
"Feb 16, 2021","0.25430","0.22854","0.29633","0.22854","8.90M","11.27%"
"Feb 15, 2021","0.22854","0.23507","0.23959","0.19194","2.68M","-2.78%"
"Feb 14, 2021","0.23507","0.24491","0.25039","0.21749","2.99M","-4.02%"
"Feb 13, 2021","0.24491","0.22140","0.24656","0.21411","7.39M","10.62%"
"Feb 12, 2021","0.22140","0.20857","0.22478","0.19733","2.67M","6.15%"
"Feb 11, 2021","0.20857","0.19007","0.21358","0.18533","2.77M","9.73%"
"Feb 10, 2021","0.19007","0.18972","0.19823","0.17638","3.90M","0.19%"
"Feb 09, 2021","0.18972","0.18457","0.18972","0.17680","2.78M","2.79%"
"Feb 08, 2021","0.18457","0.18017","0.18914","0.17341","4.54M","2.16%"
"Feb 07, 2021","0.18066","0.20062","0.20062","0.16982","5.73M","-9.95%"
"Feb 06, 2021","0.20062","0.15029","0.26154","0.15029","43.73M","33.48%"
"Feb 05, 2021","0.15029","0.13592","0.15246","0.13559","1.85M","10.57%"
"Feb 04, 2021","0.13592","0.13545","0.14239","0.12728","2.60M","0.35%"
"Feb 03, 2021","0.13545","0.12717","0.14409","0.12602","2.73M","6.51%"
"Feb 02, 2021","0.12717","0.12176","0.12943","0.11982","1.97M","4.36%"
"Feb 01, 2021","0.12186","0.11634","0.12194","0.11246","1.53M","4.74%"
"Jan 31, 2021","0.11634","0.12266","0.12277","0.11208","1.70M","-5.15%"
"Jan 30, 2021","0.12266","0.11870","0.12393","0.11494","1.68M","3.33%"
"Jan 29, 2021","0.11870","0.11761","0.12397","0.11403","2.19M","0.93%"
"Jan 28, 2021","0.11761","0.11019","0.12097","0.10813","1.93M","6.74%"
"Jan 27, 2021","0.11019","0.11540","0.11560","0.10312","1.87M","-4.52%"
"Jan 26, 2021","0.11540","0.11620","0.11699","0.10969","1.28M","-0.68%"
"Jan 25, 2021","0.11620","0.11917","0.12255","0.11259","2.03M","-2.49%"
"Jan 24, 2021","0.11917","0.11766","0.12088","0.11550","1.09M","1.28%"
"Jan 23, 2021","0.11766","0.11939","0.11979","0.11260","1.13M","-1.45%"
"Jan 22, 2021","0.11939","0.11459","0.12088","0.10182","2.01M","4.19%"
"Jan 21, 2021","0.11459","0.12953","0.12953","0.11220","2.60M","-11.53%"
"Jan 20, 2021","0.12953","0.13093","0.13184","0.12000","2.12M","-1.07%"
"Jan 19, 2021","0.13093","0.12774","0.13602","0.12774","3.89M","2.50%"
"Jan 18, 2021","0.12774","0.12408","0.12901","0.11824","2.34M","2.95%"
"Jan 17, 2021","0.12408","0.12406","0.13306","0.11380","3.10M","0.01%"
"Jan 16, 2021","0.12406","0.11789","0.12695","0.11720","2.79M","5.08%"
"Jan 15, 2021","0.11807","0.12163","0.12236","0.11182","1.73M","-3.06%"
"Jan 14, 2021","0.12179","0.11891","0.12347","0.11479","2.10M","2.73%"
"Jan 13, 2021","0.11855","0.11262","0.11943","0.10819","1.97M","5.27%"
"Jan 12, 2021","0.11262","0.11398","0.11874","0.10578","2.07M","-1.20%"
"Jan 11, 2021","0.11398","0.13405","0.13476","0.09971","3.76M","-14.97%"
"Jan 10, 2021","0.13405","0.12903","0.14249","0.12354","4.29M","3.75%"
"Jan 09, 2021","0.12920","0.12364","0.13314","0.11761","3.15M","4.81%"
"Jan 08, 2021","0.12327","0.13039","0.13268","0.11261","3.25M","-5.47%"
"Jan 07, 2021","0.13039","0.12363","0.14748","0.11875","7.25M","5.47%"
"Jan 06, 2021","0.12363","0.10969","0.12387","0.10703","3.67M","12.61%"
"Jan 05, 2021","0.10978","0.10841","0.11002","0.10291","1.86M","0.92%"
"Jan 04, 2021","0.10878","0.10482","0.13526","0.09832","5.91M","3.78%"
"Jan 03, 2021","0.10482","0.10488","0.10653","0.09867","1.82M","-0.26%"
"Jan 02, 2021","0.10509","0.10926","0.10934","0.10267","1.93M","-3.67%"
"Jan 01, 2021","0.10909","0.10733","0.11347","0.10697","1.09M","1.64%"
"Dec 31, 2020","0.10733","0.11159","0.11211","0.10372","1.61M","-3.81%"
"Dec 30, 2020","0.11159","0.11426","0.11536","0.10772","1.30M","-2.34%"
"Dec 29, 2020","0.11426","0.11329","0.12078","0.10862","1.94M","0.85%"
"Dec 28, 2020","0.11329","0.10959","0.12599","0.10557","2.82M","3.85%"
"Dec 27, 2020","0.10909","0.10077","0.11265","0.09984","1.59M","8.26%"
"Dec 26, 2020","0.10077","0.10129","0.10278","0.09782","754.64K","-0.52%"
"Dec 25, 2020","0.10129","0.10329","0.10719","0.09893","938.40K","-1.93%"
"Dec 24, 2020","0.10329","0.09592","0.10345","0.09115","1.17M","7.68%"
"Dec 23, 2020","0.09592","0.11078","0.11109","0.09194","1.23M","-13.42%"
"Dec 22, 2020","0.11078","0.11226","0.11375","0.10683","890.13K","-1.35%"
"Dec 21, 2020","0.11230","0.11972","0.12184","0.10740","1.41M","-6.12%"
"Dec 20, 2020","0.11962","0.12619","0.12620","0.11636","1.08M","-5.21%"
"Dec 19, 2020","0.12619","0.11623","0.12890","0.11547","2.32M","8.57%"
"Dec 18, 2020","0.11623","0.11217","0.11792","0.11061","1.22M","3.62%"
"Dec 17, 2020","0.11217","0.11616","0.11743","0.11055","1.68M","-3.43%"
"Dec 16, 2020","0.11616","0.11114","0.11695","0.10914","1.49M","4.52%"
"Dec 15, 2020","0.11114","0.11526","0.11623","0.10675","1.02M","-3.87%"
"Dec 14, 2020","0.11561","0.11139","0.11561","0.11103","782.38K","-4.91%"
"Dec 06, 2020","0.12159","0.12159","0.12159","0.12159","-","0.00%"
"Dec 05, 2020","0.12159","0.11800","0.12159","0.11560","101.34K","3.04%"
"Dec 04, 2020","0.11800","0.12110","0.13270","0.11800","125.88K","-2.56%"
"Dec 03, 2020","0.12110","0.12170","0.12280","0.11780","37.86K","-0.49%"
"Dec 02, 2020","0.12170","0.11730","0.12180","0.11720","32.40K","3.75%"
"Dec 01, 2020","0.11730","0.12140","0.12330","0.11420","33.77K","-3.38%"
"Nov 30, 2020","0.12140","0.11980","0.12480","0.11530","30.64K","1.34%"
"Nov 29, 2020","0.11980","0.11950","0.11980","0.11420","5.51K","0.25%"
"Nov 28, 2020","0.11950","0.12080","0.12100","0.11380","38.83K","-1.08%"
"Nov 27, 2020","0.12080","0.10300","0.13610","0.10300","215.25K","17.28%"
"Nov 26, 2020","0.10300","0.12460","0.13050","0.10300","46.35K","-17.34%"
"Nov 25, 2020","0.12460","0.12171","0.13986","0.12171","111.82K","2.37%"
"Nov 24, 2020","0.12171","0.11711","0.12509","0.11301","3.34M","3.94%"
"Nov 23, 2020","0.11711","0.10892","0.11997","0.10563","2.47M","7.52%"
"Nov 22, 2020","0.10892","0.11070","0.11587","0.10491","3.49M","-1.61%"
"Nov 21, 2020","0.11070","0.10430","0.11119","0.10261","1.83M","6.13%"
"Nov 20, 2020","0.10430","0.10079","0.10608","0.09968","1.85M","3.48%"
"Nov 19, 2020","0.10079","0.10589","0.10669","0.09662","2.38M","-4.81%"
"Nov 18, 2020","0.10589","0.10569","0.10619","0.10000","1.48M","0.37%"
"Nov 17, 2020","0.10549","0.10977","0.11461","0.10251","2.46M","-3.99%"
"Nov 16, 2020","0.10987","0.09990","0.11594","0.09840","2.67M","9.77%"
"Nov 15, 2020","0.10010","0.09991","0.10330","0.09890","1.19M","0.19%"
"Nov 14, 2020","0.09991","0.10050","0.10518","0.09751","2.26M","-0.59%"
"Nov 13, 2020","0.10050","0.09930","0.10528","0.09831","3.16M","1.21%"
"Nov 12, 2020","0.09930","0.10320","0.10578","0.09700","3.42M","-3.78%"
"Nov 11, 2020","0.10320","0.11418","0.11668","0.10231","4.72M","-9.61%"
"Nov 10, 2020","0.11418","0.10250","0.13462","0.10160","18.37M","11.40%"
"Nov 09, 2020","0.10250","0.08969","0.10269","0.08871","3.35M","14.27%"
"Nov 08, 2020","0.08969","0.08360","0.09117","0.08291","1.63M","7.16%"
"Nov 07, 2020","0.08370","0.09171","0.09659","0.08221","2.48M","-8.73%"
