"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 19, 2021","2.8204","3.2204","3.2768","2.8204","21.55M","-12.34%"
"Apr 18, 2021","3.2173","3.7911","3.7911","3.0180","38.38M","-14.89%"
"Apr 17, 2021","3.7802","3.9277","4.2067","3.7802","19.31M","-3.38%"
"Apr 16, 2021","3.9124","4.0558","4.2335","3.8793","40.63M","-2.68%"
"Apr 15, 2021","4.0201","3.1636","4.0201","3.1636","39.92M","26.91%"
"Apr 14, 2021","3.1676","3.1290","3.2384","3.0357","15.53M","1.50%"
"Apr 13, 2021","3.1208","3.0508","3.1540","3.0198","11.90M","2.88%"
"Apr 12, 2021","3.0335","3.1141","3.1141","3.0147","11.97M","-2.47%"
"Apr 11, 2021","3.1104","2.9645","3.1336","2.9232","12.67M","4.96%"
"Apr 10, 2021","2.9633","2.9819","3.0295","2.9143","7.11M","-0.68%"
"Apr 09, 2021","2.9836","3.0741","3.1088","2.9467","7.42M","-2.89%"
"Apr 08, 2021","3.0724","2.8975","3.0724","2.8975","7.83M","6.23%"
"Apr 07, 2021","2.8922","3.1932","3.3168","2.8910","19.83M","-8.81%"
"Apr 06, 2021","3.1715","3.3248","3.3248","3.1074","10.15M","-4.46%"
"Apr 05, 2021","3.3196","3.1009","3.4363","2.9450","17.01M","7.01%"
"Apr 04, 2021","3.1020","2.9206","3.1145","2.9206","9.37M","6.28%"
"Apr 03, 2021","2.9186","3.3531","3.3563","2.9186","12.97M","-12.89%"
"Apr 02, 2021","3.3505","3.3280","3.4315","3.2587","10.36M","1.28%"
"Apr 01, 2021","3.3082","3.1361","3.3439","3.1082","17.60M","5.56%"
"Mar 31, 2021","3.1339","3.2871","3.2871","3.0778","15.15M","-4.59%"
"Mar 30, 2021","3.2846","3.5276","3.5276","3.2292","15.17M","-6.92%"
"Mar 29, 2021","3.5288","3.0216","3.5288","3.0216","25.55M","16.71%"
"Mar 28, 2021","3.0236","3.1172","3.2755","2.9763","24.88M","-3.19%"
"Mar 27, 2021","3.1233","2.6227","3.1233","2.6227","26.12M","19.09%"
"Mar 26, 2021","2.6227","2.3853","2.6227","2.3853","15.17M","9.86%"
"Mar 25, 2021","2.3873","2.5077","2.5813","2.3873","28.50M","-5.13%"
"Mar 24, 2021","2.5165","2.8803","2.9604","2.5165","21.45M","-12.92%"
"Mar 23, 2021","2.8899","2.3590","2.9776","2.2863","42.73M","22.52%"
"Mar 22, 2021","2.3587","2.5939","2.6276","2.3587","11.94M","-9.18%"
"Mar 21, 2021","2.5970","2.7072","2.7120","2.5442","8.54M","-3.76%"
"Mar 20, 2021","2.6986","2.7451","2.9344","2.6986","12.12M","-1.73%"
"Mar 19, 2021","2.7460","2.6095","2.7460","2.6083","11.85M","5.45%"
"Mar 18, 2021","2.6042","2.4240","2.7701","2.4240","18.38M","7.39%"
"Mar 17, 2021","2.4250","2.5952","2.5952","2.3306","10.97M","-6.81%"
"Mar 16, 2021","2.6022","2.2290","2.6022","2.1704","19.55M","16.96%"
"Mar 15, 2021","2.2248","2.1147","2.3270","2.1147","15.92M","5.46%"
"Mar 14, 2021","2.1097","2.3837","2.3837","2.1097","9.29M","-11.37%"
"Mar 13, 2021","2.3803","2.0587","2.3803","2.0385","14.45M","15.49%"
"Mar 12, 2021","2.0610","2.1795","2.1795","2.0325","10.73M","-5.03%"
"Mar 11, 2021","2.1701","2.2121","2.2121","2.0823","10.24M","-2.08%"
"Mar 10, 2021","2.2163","2.4018","2.4018","2.2163","12.03M","-7.63%"
"Mar 09, 2021","2.3993","2.3933","2.4392","2.3228","13.03M","0.30%"
"Mar 08, 2021","2.3921","2.2420","2.3921","2.0433","20.79M","6.50%"
"Mar 07, 2021","2.2461","2.0479","2.2461","2.0479","13.70M","9.71%"
"Mar 06, 2021","2.0473","2.0539","2.1297","1.9560","9.25M","-0.13%"
"Mar 05, 2021","2.0500","2.0864","2.0864","1.9540","10.12M","-1.61%"
"Mar 04, 2021","2.0836","2.2789","2.2859","2.0578","18.24M","-8.62%"
"Mar 03, 2021","2.2801","2.5030","2.6215","2.2801","19.39M","-9.19%"
"Mar 02, 2021","2.5108","2.0010","2.5108","2.0010","35.59M","25.41%"
"Mar 01, 2021","2.0020","1.7661","2.0020","1.7661","10.95M","13.56%"
"Feb 28, 2021","1.7629","1.9596","1.9596","1.6638","16.03M","-10.12%"
"Feb 27, 2021","1.9614","1.9254","2.0311","1.9254","10.47M","1.88%"
"Feb 26, 2021","1.9252","2.0110","2.0790","1.9173","15.41M","-4.23%"
"Feb 25, 2021","2.0102","2.1556","2.2600","2.0102","14.48M","-6.68%"
"Feb 24, 2021","2.1540","2.1390","2.3405","2.0806","20.80M","0.83%"
"Feb 23, 2021","2.1362","2.5766","2.5766","1.9823","37.40M","-17.03%"
"Feb 22, 2021","2.5746","2.9083","2.9083","2.4199","26.90M","-11.52%"
"Feb 21, 2021","2.9098","2.8898","2.9484","2.8390","17.42M","0.58%"
"Feb 20, 2021","2.8931","2.6299","3.1236","2.6299","42.35M","10.17%"
"Feb 19, 2021","2.6261","2.8188","2.8188","2.6261","11.30M","-6.63%"
"Feb 18, 2021","2.8125","2.7914","2.9399","2.7718","11.73M","1.02%"
"Feb 17, 2021","2.7841","2.6753","2.8345","2.6040","14.14M","3.97%"
"Feb 16, 2021","2.6777","2.7151","2.8006","2.6261","15.47M","-1.50%"
"Feb 15, 2021","2.7184","2.9735","2.9735","2.4447","34.27M","-8.05%"
"Feb 14, 2021","2.9563","3.3000","3.3000","2.9563","12.84M","-10.20%"
"Feb 13, 2021","3.2922","3.3988","3.5043","3.2604","16.10M","-2.86%"
"Feb 12, 2021","3.3892","3.5555","3.5555","3.3875","15.43M","-4.73%"
"Feb 11, 2021","3.5574","3.0866","3.5574","3.0730","20.62M","15.02%"
"Feb 10, 2021","3.0928","3.1797","3.2856","3.0159","21.96M","-2.62%"
"Feb 09, 2021","3.1761","3.0670","3.2412","3.0114","17.68M","3.74%"
"Feb 08, 2021","3.0616","2.9834","3.1825","2.9368","20.44M","2.57%"
